Origin	Destination	
Cabo San Lucas	Leon	
Cabo San Lucas	London	
Cabo San Lucas	Los Angeles	
Cabo San Lucas	Madrid	
Cabo San Lucas	Mazatlan	
Cabo San Lucas	Medellin	
Cabo San Lucas	Mexico City	
Cabo San Lucas	Miami	
Cabo San Lucas	Minatitlan	
Cabo San Lucas	Monterrey	
Cabo San Lucas	Mérida	
Cabo San Lucas	New York	
Cabo San Lucas	Oaxaca	
Cabo San Lucas	Orlando	
Cabo San Lucas	Paris	
Cabo San Lucas	Puerto Escondido	
Cabo San Lucas	Puerto Vallarta	
Cabo San Lucas	Queretaro	
Cabo San Lucas	San Jose, CR	
Cabo San Lucas	San Luis Potosi	
Cabo San Lucas	Seattle	
Cabo San Lucas	Tampico	
Cabo San Lucas	Tapachula	
Cabo San Lucas	Tijuana	
Cabo San Lucas	Tokyo	
Cabo San Lucas	Torreon	
Cabo San Lucas	Tuxtla Gutierrez	
Cabo San Lucas	Vancouver	
Cabo San Lucas	Veracruz	
Cabo San Lucas	Villahermosa	
Calgary	Guadalajara	
Calgary	Medellin	
Calgary	Mexico City	
Calgary	Puerto Vallarta	
Cali	Cancun	
Cali	Guadalajara	
Cali	Mexico City	
Cali	Monterrey	
Cali	Puerto Vallarta	
Cali	Tijuana	
Campeche	Cabo San Lucas	
Campeche	Chihuahua	
Campeche	Juarez	
Campeche	Mazatlan	
Campeche	Mexicali	
Campeche	Mexico City	
Campeche	Tijuana	
Cancun	Acapulco	
Cancun	Aguascalientes	
Cancun	Amsterdam	
Cancun	Atlanta	
Cancun	Austin	
Cancun	Barcelona	
Cancun	Bogota	
Cancun	Boston	
Cancun	Brussels	
Cancun	Buenos Aires	
Cancun	Cabo San Lucas	
Cancun	Cartagena	
Cancun	Chicago	
Cancun	Chihuahua	
Cancun	Ciudad Obregon	
Cancun	Culiacan	
Cancun	Denver	
Cancun	Detroit	
Cancun	Durango	
Cancun	Felipe Angeles (Mexico City)	
Cancun	Frankfurt	
Cancun	Guadalajara	
Cancun	Guatemala City	
Cancun	Havana	
Cancun	Hermosillo	
Cancun	Houston	
Cancun	Huatulco	
Cancun	Ixtapa-Zihuatanejo	
Cancun	Juarez	
Cancun	La Paz	
Cancun	Las Vegas	
Cancun	Leon	
Cancun	Lima	
Cancun	London	
Cancun	Los Angeles	
Cancun	Los Mochis	
Cancun	Madrid	
Cancun	Manzanillo	
Cancun	Mazatlan	
Cancun	Medellin	
Cancun	Mexicali	
Cancun	Mexico City	
Cancun	Miami	
Cancun	Minatitlan	
Cancun	Minneapolis	
Cancun	Monterrey	
Cancun	Montreal	
Cancun	Morelia	
Cancun	New York	
Cancun	New York/Newark	
Cancun	Oaxaca	
Cancun	Orlando	
Cancun	Paris	
Cancun	Philadelphia	
Cancun	Portland, OR	
Cancun	Puerto Escondido	
Cancun	Puerto Vallarta	
Cancun	Queretaro	
Cancun	Raleigh	
Cancun	Reynosa	
Cancun	Rome	
Cancun	Sacramento	
Cancun	Salt Lake City	
Cancun	San Antonio	
Cancun	San Francisco	
Cancun	San Jose	
Cancun	San Jose, CR	
Cancun	San Luis Potosi	
Cancun	San Salvador	
Cancun	Santiago	
Cancun	Santo Domingo	
Cancun	Sao Paulo	
Cancun	Seattle	
Cancun	Seoul	
Cancun	Tampico	
Cancun	Tapachula	
Cancun	Tijuana	
Cancun	Tokyo	
Cancun	Toronto	
Cancun	Torreon	
Cancun	Tuxtla Gutierrez	
Cancun	Vancouver	
Cancun	Veracruz	
Cancun	Villahermosa	
Cancun	Zacatecas	
Cartagena	Acapulco	
Cartagena	Cancun	
Cartagena	Culiacan	
Cartagena	Guadalajara	
Cartagena	Mexicali	
Cartagena	Mexico City	
Cartagena	Miami	
Cartagena	Monterrey	
Cartagena	Mérida	
Cartagena	Tampico	
Cartagena	Tijuana	
Charleston	Mexico City	
Charlotte	Cancun	
Charlotte	Guadalajara	
Charlotte	Leon	
Charlotte	Mexico City	
Chetumal	Guadalajara	
Chetumal	Mexico City	
Chetumal	Monterrey	
Chetumal	Oaxaca	
Chetumal	Puerto Vallarta	
Chetumal	Tijuana	
Chicago	Acapulco	
Chicago	Aguascalientes	
Chicago	Buenos Aires	
Chicago	Cabo San Lucas	
Chicago	Cancun	
Chicago	Chihuahua	
Chicago	Culiacan	
Chicago	Durango	
Chicago	Guadalajara	
Chicago	Guatemala City	
Chicago	Huatulco	
Chicago	Ixtapa-Zihuatanejo	
Chicago	Leon	
Chicago	Manzanillo	
Chicago	Mazatlan	
Chicago	Mexico City	
Chicago	Monterrey	
Chicago	Morelia	
Chicago	Mérida	
Chicago	Oaxaca	
Chicago	Puerto Vallarta	
Chicago	Queretaro	
Chicago	San Luis Potosi	
Chicago	Tampico	
Chicago	Torreon	
Chicago	Tuxtla Gutierrez	
Chicago	Veracruz	
Chicago	Zacatecas	
Chihuahua	Acapulco	
Chihuahua	Aguascalientes	
Chihuahua	Amsterdam	
Chihuahua	Atlanta	
Chihuahua	Bogota	
Chihuahua	Cabo San Lucas	
Chihuahua	Cali	
Chihuahua	Campeche	
Chihuahua	Cancun	
Chihuahua	Cartagena	
Chihuahua	Chetumal	
Chihuahua	Culiacan	
Chihuahua	Detroit	
Chihuahua	Guadalajara	
Chihuahua	Guatemala City	
Chihuahua	Hermosillo	
Chihuahua	Huatulco	
Chihuahua	Ixtapa-Zihuatanejo	
Chihuahua	La Paz	
Chihuahua	Leon	
Chihuahua	Lima	
Chihuahua	London	
Chihuahua	Los Angeles	
Chihuahua	Madrid	
Chihuahua	Mazatlan	
Chihuahua	Medellin	
Chihuahua	Mexicali	
Chihuahua	Mexico City	
Chihuahua	Miami	
Chihuahua	Minatitlan	
Chihuahua	Monterrey	
Chihuahua	Montreal	
Chihuahua	Mérida	
Chihuahua	New York	
Chihuahua	Oaxaca	
Chihuahua	Paris	
Chihuahua	Puerto Escondido	
Chihuahua	Puerto Vallarta	
Chihuahua	Queretaro	
Chihuahua	Rome	
Chihuahua	San Jose, CR	
Chihuahua	San Luis Potosi	
Chihuahua	Seoul	
Chihuahua	Tampico	
Chihuahua	Tapachula	
Chihuahua	Tijuana	
Chihuahua	Tokyo	
Chihuahua	Toronto	
Chihuahua	Tuxtla Gutierrez	
Chihuahua	Vancouver	
Chihuahua	Veracruz	
Chihuahua	Villahermosa	
Cincinnati	Cancun	
Ciudad Obregon	Cancun	
Ciudad Obregon	Guadalajara	
Ciudad Obregon	Leon	
Ciudad Obregon	Madrid	
Ciudad Obregon	Mexico City	
Ciudad Obregon	Monterrey	
Ciudad Obregon	Mérida	
Ciudad Obregon	Paris	
Ciudad Obregon	Puerto Vallarta	
Ciudad Obregon	Queretaro	
Ciudad Obregon	Tijuana	
Ciudad Obregon	Tuxtla Gutierrez	
Ciudad Obregon	Veracruz	
Ciudad Obregon	Villahermosa	
Ciudad del Carmen	Guadalajara	
Ciudad del Carmen	Mazatlan	
Ciudad del Carmen	Mexico City	
Ciudad del Carmen	Monterrey	
Ciudad del Carmen	Reynosa	
Ciudad del Carmen	Tampico	
Ciudad del Carmen	Tijuana	
Ciudad del Carmen	Veracruz	
Cleveland	Mexico City	
Colima	Felipe Angeles (Mexico City)	
Columbus	Mexico City	
Copenhagen	Mexico City	
Cozumel	Mexico City	
Cozumel	Tijuana	
Culiacan	Acapulco	
Culiacan	Amsterdam	
Culiacan	Bogota	
Culiacan	Cancun	
Culiacan	Cartagena	
Culiacan	Guadalajara	
Culiacan	Huatulco	
Culiacan	Juarez	
Culiacan	Leon	
Culiacan	London	
Culiacan	Los Angeles	
Culiacan	Madrid	
Culiacan	Medellin	
Culiacan	Mexicali	
Culiacan	Mexico City	
Culiacan	Miami	
Culiacan	Minatitlan	
Culiacan	Monterrey	
Culiacan	Mérida	
Culiacan	New York	
Culiacan	Oaxaca	
Culiacan	Paris	
Culiacan	Phoenix	
Culiacan	Puerto Vallarta	
Culiacan	Queretaro	
Culiacan	San Jose, CR	
Culiacan	San Luis Potosi	
Culiacan	Tampico	
Culiacan	Tijuana	
Culiacan	Toronto	
Culiacan	Tuxtla Gutierrez	
Culiacan	Veracruz	
Culiacan	Villahermosa	
Cusco	Mexico City	
Cúcuta	Mexico City	
Dallas	Acapulco	
Dallas	Aguascalientes	
Dallas	Cancun	
Dallas	Durango	
Dallas	Guadalajara	
Dallas	Leon	
Dallas	Mazatlan	
Dallas	Mexico City	
Dallas	Monterrey	
Dallas	Puerto Vallarta	
Dallas	Queretaro	
Dallas	San Luis Potosi	
Dallas	Torreon	
Dallas	Tuxtla Gutierrez	
Dallas	Veracruz	
Dallas	Villahermosa	
Denver	Aguascalientes	
Denver	Cabo San Lucas	
Denver	Cancun	
Denver	Durango	
Denver	Guadalajara	
Denver	Leon	
Denver	Mazatlan	
Denver	Mexico City	
Denver	Oaxaca	
Denver	Puerto Vallarta	
Detroit	Aguascalientes	
Detroit	Cancun	
Detroit	Guadalajara	
Detroit	Leon	
Detroit	Mexico City	
Detroit	Monterrey	
Detroit	Mérida	
Detroit	Puerto Vallarta	
Detroit	Queretaro	
Dublin	Mexico City	
Durango	Acapulco	
Durango	Amsterdam	
Durango	Bogota	
Durango	Cancun	
Durango	Chicago	
Durango	Felipe Angeles (Mexico City)	
Durango	Guadalajara	
Durango	Guatemala City	
Durango	Hermosillo	
Durango	Juarez	
Durango	London	
Durango	Los Angeles	
Durango	Madrid	
Durango	Mexicali	
Durango	Mexico City	
Durango	Monterrey	
Durango	Mérida	
Durango	Oaxaca	
Durango	Puerto Vallarta	
Durango	Rome	
Durango	Tijuana	
Durango	Tuxtla Gutierrez	
Durango	Veracruz	
Durango	Villahermosa	
Dusseldorf	Mexico City	
Edinburgh	Mexico City	
Edmonton	Mexico City	
El Paso	Mexico City	
Fayetteville, AK	Mexico City	
Felipe Angeles (Mexico City)	Cancun	
Felipe Angeles (Mexico City)	Colima	
Felipe Angeles (Mexico City)	Durango	
Felipe Angeles (Mexico City)	Guadalajara	
Felipe Angeles (Mexico City)	Houston	
Felipe Angeles (Mexico City)	Mcallen	
Felipe Angeles (Mexico City)	Monterrey	
Felipe Angeles (Mexico City)	Mérida	
Felipe Angeles (Mexico City)	Oaxaca	
Felipe Angeles (Mexico City)	Puerto Vallarta	
Felipe Angeles (Mexico City)	Tulum	
Felipe Angeles (Mexico City)	Veracruz	
Florence	Mexico City	
Fort Lauderdale	Mexico City	
Frankfurt	Cancun	
Frankfurt	Mexico City	
Frankfurt	Monterrey	
Fresno	Cabo San Lucas	
Fresno	Guadalajara	
Fresno	Leon	
Fresno	Mexico City	
Fresno	Puerto Vallarta	
Geneva	Mexico City	
Glasgow	Mexico City	
Grand Rapids	Mexico City	
Greenville	Mexico City	
Guadalajara	A Coruna	
Guadalajara	Acapulco	
Guadalajara	Amsterdam	
Guadalajara	Anchorage	
Guadalajara	Athens	
Guadalajara	Atlanta	
Guadalajara	Baltimore	
Guadalajara	Bangkok	
Guadalajara	Barcelona	
Guadalajara	Barranquilla	
Guadalajara	Berlin	
Guadalajara	Bilbao	
Guadalajara	Bogota	
Guadalajara	Boise	
Guadalajara	Boston	
Guadalajara	Brussels	
Guadalajara	Buenos Aires	
Guadalajara	Cabo San Lucas	
Guadalajara	Cairo	
Guadalajara	Calgary	
Guadalajara	Cali	
Guadalajara	Campeche	
Guadalajara	Cancun	
Guadalajara	Cartagena	
Guadalajara	Charleston	
Guadalajara	Charlotte	
Guadalajara	Chetumal	
Guadalajara	Chicago	
Guadalajara	Chihuahua	
Guadalajara	Ciudad Obregon	
Guadalajara	Ciudad del Carmen	
Guadalajara	Cleveland	
Guadalajara	Cozumel	
Guadalajara	Culiacan	
Guadalajara	Cusco	
Guadalajara	Dallas	
Guadalajara	Denver	
Guadalajara	Detroit	
Guadalajara	Dubai	
Guadalajara	Dublin	
Guadalajara	Durango	
Guadalajara	Edinburgh	
Guadalajara	Edmonton	
Guadalajara	Felipe Angeles (Mexico City)	
Guadalajara	Frankfurt	
Guadalajara	Fresno	
Guadalajara	Geneva	
Guadalajara	Guatemala City	
Guadalajara	Havana	
Guadalajara	Hermosillo	
Guadalajara	Honolulu	
Guadalajara	Houston	
Guadalajara	Huatulco	
Guadalajara	Idaho Falls	
Guadalajara	Indianapolis	
Guadalajara	Istanbul	
Guadalajara	Ixtapa-Zihuatanejo	
Guadalajara	Juarez	
Guadalajara	Kansas City	
Guadalajara	La Paz	
Guadalajara	Las Vegas	
Guadalajara	Leon	
Guadalajara	Lima	
Guadalajara	Lisbon	
Guadalajara	London	
Guadalajara	Los Angeles	
Guadalajara	Los Mochis	
Guadalajara	Madrid	
Guadalajara	Malaga	
Guadalajara	Matamoros	
Guadalajara	Mazatlan	
Guadalajara	Mcallen	
Guadalajara	Medellin	
Guadalajara	Memphis	
Guadalajara	Mexicali	
Guadalajara	Mexico City	
Guadalajara	Miami	
Guadalajara	Milan	
Guadalajara	Minatitlan	
Guadalajara	Minneapolis	
Guadalajara	Monterrey	
Guadalajara	Montreal	
Guadalajara	Mérida	
Guadalajara	Nashville	
Guadalajara	New York	
Guadalajara	New York/Newark	
Guadalajara	Norfolk	
Guadalajara	Nuevo Laredo	
Guadalajara	Oakland	
Guadalajara	Oaxaca	
Guadalajara	Omaha	
Guadalajara	Ontario	
Guadalajara	Orlando	
Guadalajara	Osaka	
Guadalajara	Oslo	
Guadalajara	Paris	
Guadalajara	Pasco	
Guadalajara	Philadelphia	
Guadalajara	Phoenix	
Guadalajara	Pittsburgh	
Guadalajara	Portland, OR	
Guadalajara	Puerto Escondido	
Guadalajara	Puerto Vallarta	
Guadalajara	Queretaro	
Guadalajara	Raleigh	
Guadalajara	Reno	
Guadalajara	Reynosa	
Guadalajara	Rio de Janeiro	
Guadalajara	Rome	
Guadalajara	Sacramento	
Guadalajara	Saint Louis	
Guadalajara	Salt Lake City	
Guadalajara	San Antonio	
Guadalajara	San Francisco	
Guadalajara	San Jose	
Guadalajara	San Jose, CR	
Guadalajara	San Juan	
Guadalajara	San Luis Potosi	
Guadalajara	San Pedro Sula	
Guadalajara	San Salvador	
Guadalajara	Santiago	
Guadalajara	Santo Domingo	
Guadalajara	Sao Paulo	
Guadalajara	Savannah	
Guadalajara	Seattle	
Guadalajara	Seoul	
Guadalajara	Sevilla	
Guadalajara	Singapore	
Guadalajara	Spokane	
Guadalajara	Tampa	
Guadalajara	Tampico	
Guadalajara	Tapachula	
Guadalajara	Tijuana	
Guadalajara	Tokyo	
Guadalajara	Toronto	
Guadalajara	Torreon	
Guadalajara	Tulum	
Guadalajara	Tuxtla Gutierrez	
Guadalajara	Valencia	
Guadalajara	Vancouver	
Guadalajara	Venice	
Guadalajara	Veracruz	
Guadalajara	Vienna	
Guadalajara	Vigo	
Guadalajara	Villahermosa	
Guadalajara	Washington, D.C.	
Guadalajara	Zurich	
Guatemala City	Aguascalientes	
Guatemala City	Boston	
Guatemala City	Cabo San Lucas	
Guatemala City	Cancun	
Guatemala City	Chicago	
Guatemala City	Guadalajara	
Guatemala City	Juarez	
Guatemala City	Leon	
Guatemala City	Los Angeles	
Guatemala City	Madrid	
Guatemala City	Mazatlan	
Guatemala City	Medellin	
Guatemala City	Mexicali	
Guatemala City	Mexico City	
Guatemala City	Monterrey	
Guatemala City	Montreal	
Guatemala City	Mérida	
Guatemala City	New York	
Guatemala City	Oaxaca	
Guatemala City	Puerto Vallarta	
Guatemala City	Queretaro	
Guatemala City	Reynosa	
Guatemala City	San Francisco	
Guatemala City	San Luis Potosi	
Guatemala City	Tijuana	
Guatemala City	Tokyo	
Guatemala City	Toronto	
Guatemala City	Vancouver	
Guatemala City	Veracruz	
Hamburg	Mexico City	
Hanover	Mexico City	
Hartford	Cancun	
Hartford	Mexico City	
Havana	Bogota	
Havana	Cancun	
Havana	Managua	
Havana	Mexico City	
Hermosillo	Acapulco	
Hermosillo	Aguascalientes	
Hermosillo	Amsterdam	
Hermosillo	Barcelona	
Hermosillo	Bogota	
Hermosillo	Cabo San Lucas	
Hermosillo	Campeche	
Hermosillo	Cancun	
Hermosillo	Chihuahua	
Hermosillo	Ciudad del Carmen	
Hermosillo	Culiacan	
Hermosillo	Durango	
Hermosillo	Guadalajara	
Hermosillo	Guatemala City	
Hermosillo	Huatulco	
Hermosillo	Ixtapa-Zihuatanejo	
Hermosillo	Juarez	
Hermosillo	La Paz	
Hermosillo	Leon	
Hermosillo	Lima	
Hermosillo	London	
Hermosillo	Madrid	
Hermosillo	Mazatlan	
Hermosillo	Medellin	
Hermosillo	Mexicali	
Hermosillo	Mexico City	
Hermosillo	Miami	
Hermosillo	Minatitlan	
Hermosillo	Monterrey	
Hermosillo	Morelia	
Hermosillo	Mérida	
Hermosillo	New York	
Hermosillo	Oaxaca	
Hermosillo	Orlando	
Hermosillo	Paris	
Hermosillo	Puerto Escondido	
Hermosillo	Puerto Vallarta	
Hermosillo	Queretaro	
Hermosillo	Reynosa	
Hermosillo	Rome	
Hermosillo	San Jose, CR	
Hermosillo	San Luis Potosi	
Hermosillo	San Salvador	
Hermosillo	Santo Domingo	
Hermosillo	Sao Paulo	
Hermosillo	Seoul	
Hermosillo	Tampico	
Hermosillo	Tapachula	
Hermosillo	Tijuana	
Hermosillo	Torreon	
Hermosillo	Tuxtla Gutierrez	
Hermosillo	Veracruz	
Hermosillo	Villahermosa	
Hermosillo	Zacatecas	
Hermosillo	Zurich	
Honolulu	Mexico City	
Houston	Acapulco	
Houston	Bogota	
Houston	Cabo San Lucas	
Houston	Cancun	
Houston	Durango	
Houston	Felipe Angeles (Mexico City)	
Houston	Guadalajara	
Houston	Huatulco	
Houston	Ixtapa-Zihuatanejo	
Houston	Leon	
Houston	Mazatlan	
Houston	Medellin	
Houston	Mexico City	
Houston	Monterrey	
Houston	Morelia	
Houston	Mérida	
Houston	Oaxaca	
Houston	Puerto Escondido	
Houston	Puerto Vallarta	
Houston	Queretaro	
Houston	San Luis Potosi	
Houston	Tampico	
Houston	Torreon	
Houston	Tulum	
Houston	Tuxtla Gutierrez	
Houston	Veracruz	
Houston	Villahermosa	
Huatulco	Cancun	
Huatulco	Guadalajara	
Huatulco	Juarez	
Huatulco	Los Angeles	
Huatulco	Mexico City	
Huatulco	Monterrey	
Huatulco	Montreal	
Huatulco	Tijuana	
Huatulco	Toronto	
Huatulco	Vancouver	
Huntsville	Mexico City	
Indianapolis	Cancun	
Indianapolis	Guadalajara	
Indianapolis	Mexico City	
Istanbul	Mexico City	
Ixtapa-Zihuatanejo	Cabo San Lucas	
Ixtapa-Zihuatanejo	Cancun	
Ixtapa-Zihuatanejo	Guadalajara	
Ixtapa-Zihuatanejo	Juarez	
Ixtapa-Zihuatanejo	Mexico City	
Ixtapa-Zihuatanejo	Monterrey	
Ixtapa-Zihuatanejo	Montreal	
Ixtapa-Zihuatanejo	Mérida	
Ixtapa-Zihuatanejo	Puerto Vallarta	
Ixtapa-Zihuatanejo	San Francisco	
Ixtapa-Zihuatanejo	Tijuana	
Ixtapa-Zihuatanejo	Toronto	
Ixtapa-Zihuatanejo	Vancouver	
Ixtapa-Zihuatanejo	Veracruz	
Jacksonville	Mexico City	
Juarez	Acapulco	
Juarez	Aguascalientes	
Juarez	Amsterdam	
Juarez	Barcelona	
Juarez	Bogota	
Juarez	Cabo San Lucas	
Juarez	Campeche	
Juarez	Cancun	
Juarez	Cartagena	
Juarez	Chetumal	
Juarez	Ciudad del Carmen	
Juarez	Culiacan	
Juarez	Durango	
Juarez	Guadalajara	
Juarez	Guatemala City	
Juarez	Hermosillo	
Juarez	Huatulco	
Juarez	Ixtapa-Zihuatanejo	
Juarez	La Paz	
Juarez	Leon	
Juarez	London	
Juarez	Madrid	
Juarez	Manzanillo	
Juarez	Mazatlan	
Juarez	Medellin	
Juarez	Mexico City	
Juarez	Minatitlan	
Juarez	Monterrey	
Juarez	Morelia	
Juarez	Mérida	
Juarez	Oaxaca	
Juarez	Paris	
Juarez	Puerto Escondido	
Juarez	Puerto Vallarta	
Juarez	Queretaro	
Juarez	Reynosa	
Juarez	Rome	
Juarez	San Jose, CR	
Juarez	San Luis Potosi	
Juarez	San Salvador	
Juarez	Tampico	
Juarez	Tapachula	
Juarez	Tijuana	
Juarez	Torreon	
Juarez	Tuxtla Gutierrez	
Juarez	Veracruz	
Juarez	Villahermosa	
Juarez	Zacatecas	
Kansas City	Cancun	
Kansas City	Guadalajara	
Kansas City	Mexico City	
Kelowna	Mexico City	
La Paz	Acapulco	
La Paz	Bogota	
La Paz	Cancun	
La Paz	Chihuahua	
La Paz	Guadalajara	
La Paz	Juarez	
La Paz	Leon	
La Paz	Madrid	
La Paz	Mexico City	
La Paz	Monterrey	
La Paz	Oaxaca	
La Paz	Paris	
La Paz	Puerto Vallarta	
La Paz	Queretaro	
La Paz	Rome	
La Paz	San Jose, CR	
La Paz	Tampico	
La Paz	Tapachula	
La Paz	Tijuana	
La Paz	Tuxtla Gutierrez	
La Paz	Veracruz	
La Paz	Villahermosa	
Las Vegas	Aguascalientes	
Las Vegas	Bogota	
Las Vegas	Cabo San Lucas	
Las Vegas	Cancun	
Las Vegas	Durango	
Las Vegas	Guadalajara	
Las Vegas	Mazatlan	
Las Vegas	Mexico City	
Las Vegas	Mérida	
Las Vegas	Oaxaca	
Las Vegas	Puerto Vallarta	
Las Vegas	Queretaro	
Las Vegas	Zacatecas	
Leon	Amsterdam	
Leon	Atlanta	
Leon	Bogota	
Leon	Buenos Aires	
Leon	Cabo San Lucas	
Leon	Campeche	
Leon	Cancun	
Leon	Chetumal	
Leon	Chicago	
Leon	Chihuahua	
Leon	Culiacan	
Leon	Dallas	
Leon	Detroit	
Leon	Guadalajara	
Leon	Guatemala City	
Leon	Hermosillo	
Leon	Houston	
Leon	Huatulco	
Leon	Ixtapa-Zihuatanejo	
Leon	Juarez	
Leon	La Paz	
Leon	Las Vegas	
