Origin	Destination
Brisbane	Sacramento	
Brisbane	Saint Louis	
Brisbane	Salt Lake City	
Brisbane	San Antonio	
Brisbane	San Diego	
Brisbane	San Francisco	
Brisbane	San Jose	
Brisbane	Seattle	
Brisbane	Tampa	
Brisbane	Washington, D.C.	
Bucaramanga	Aguadilla	
Bucaramanga	Atlanta	
Bucaramanga	Atlantic City	
Bucaramanga	Austin	
Bucaramanga	Baltimore, MD / Washington DC AREA	
Bucaramanga	Boston	
Bucaramanga	Charlotte	
Bucaramanga	Chicago	
Bucaramanga	Cleveland	
Bucaramanga	Columbus	
Bucaramanga	Dallas	
Bucaramanga	Detroit	
Bucaramanga	Fort Myers	
Bucaramanga	Hartford	
Bucaramanga	Houston	
Bucaramanga	Kansas City	
Bucaramanga	Las Vegas	
Bucaramanga	Los Angeles	
Bucaramanga	Miami	
Bucaramanga	Minneapolis	
Bucaramanga	Myrtle Beach	
Bucaramanga	Nashville	
Bucaramanga	New Orleans	
Bucaramanga	New York	
Bucaramanga	Orlando	
Bucaramanga	Pensacola	
Bucaramanga	Philadelphia	
Bucaramanga	Pittsburgh	
Bucaramanga	Raleigh	
Bucaramanga	Saint Louis	
Bucaramanga	San Juan	
Bucaramanga	Tampa	
Buenos Aires	Albuquerque	
Buenos Aires	Aspen	
Buenos Aires	Atlanta	
Buenos Aires	Austin	
Buenos Aires	Baltimore	
Buenos Aires	Boise	
Buenos Aires	Boston	
Buenos Aires	Burbank	
Buenos Aires	Burlington	
Buenos Aires	Charlotte	
Buenos Aires	Chicago	
Buenos Aires	Cincinnati	
Buenos Aires	Cleveland	
Buenos Aires	Columbus	
Buenos Aires	Dallas	
Buenos Aires	Denver	
Buenos Aires	Detroit	
Buenos Aires	Eugene	
Buenos Aires	Fort Lauderdale	
Buenos Aires	Fort Myers	
Buenos Aires	Hartford	
Buenos Aires	Honolulu	
Buenos Aires	Houston	
Buenos Aires	Huntsville	
Buenos Aires	Indianapolis	
Buenos Aires	Kansas City	
Buenos Aires	Las Vegas	
Buenos Aires	Los Angeles	
Buenos Aires	Memphis	
Buenos Aires	Miami	
Buenos Aires	Milwaukee	
Buenos Aires	Minneapolis	
Buenos Aires	Nashville	
Buenos Aires	New Orleans	
Buenos Aires	New York	
Buenos Aires	Oklahoma City	
Buenos Aires	Omaha	
Buenos Aires	Orlando	
Buenos Aires	Panama City	
Buenos Aires	Pasco	
Buenos Aires	Philadelphia	
Buenos Aires	Phoenix	
Buenos Aires	Pittsburgh	
Buenos Aires	Raleigh	
Buenos Aires	Sacramento	
Buenos Aires	Saint Louis	
Buenos Aires	Salt Lake City	
Buenos Aires	San Antonio	
Buenos Aires	San Diego	
Buenos Aires	San Francisco	
Buenos Aires	San Jose	
Buenos Aires	San Juan	
Buenos Aires	San Luis Obispo	
Buenos Aires	Seattle	
Buenos Aires	Tampa	
Buenos Aires	Washington, D.C.	
Buenos Aires	West Palm Beach	
Cali	Aguadilla	
Cali	Atlanta	
Cali	Atlantic City	
Cali	Austin	
Cali	Baltimore, MD / Washington DC AREA	
Cali	Boston	
Cali	Burbank	
Cali	Charlotte	
Cali	Chicago	
Cali	Cleveland	
Cali	Columbus	
Cali	Dallas	
Cali	Detroit	
Cali	Hartford	
Cali	Houston	
Cali	Indianapolis	
Cali	Kansas City	
Cali	Las Vegas	
Cali	Los Angeles	
Cali	Louisville	
Cali	Miami	
Cali	Minneapolis	
Cali	Myrtle Beach	
Cali	Nashville	
Cali	New Orleans	
Cali	New York	
Cali	Orlando	
Cali	Philadelphia	
Cali	Pittsburgh	
Cali	Raleigh	
Cali	Sacramento	
Cali	Saint Louis	
Cali	San Diego	
Cali	Seattle	
Cali	Tampa	
Cali	West Palm Beach	
Cartagena	Aguadilla	
Cartagena	Atlanta	
Cartagena	Atlantic City	
Cartagena	Austin	
Cartagena	Baltimore	
Cartagena	Baltimore, MD / Washington DC AREA	
Cartagena	Boston	
Cartagena	Burbank	
Cartagena	Charlotte	
Cartagena	Chicago	
Cartagena	Cleveland	
Cartagena	Columbus	
Cartagena	Dallas	
Cartagena	Denver	
Cartagena	Detroit	
Cartagena	Fort Lauderdale	
Cartagena	Hartford	
Cartagena	Honolulu	
Cartagena	Houston	
Cartagena	Indianapolis	
Cartagena	Kansas City	
Cartagena	Las Vegas	
Cartagena	Los Angeles	
Cartagena	Louisville	
Cartagena	Memphis	
Cartagena	Miami	
Cartagena	Minneapolis	
Cartagena	Myrtle Beach	
Cartagena	Nashville	
Cartagena	New Orleans	
Cartagena	New York	
Cartagena	Orlando	
Cartagena	Pensacola	
Cartagena	Philadelphia	
Cartagena	Phoenix	
Cartagena	Pittsburgh	
Cartagena	Ponce	
Cartagena	Raleigh	
Cartagena	Richmond	
Cartagena	Sacramento	
Cartagena	Saint Louis	
Cartagena	San Antonio	
Cartagena	San Diego	
Cartagena	San Francisco	
Cartagena	San Juan	
Cartagena	Seattle	
Cartagena	Tampa	
Cartagena	Washington, D.C.	
Chengdu	Aspen	
Chengdu	Atlanta	
Chengdu	Austin	
Chengdu	Baltimore	
Chengdu	Billings	
Chengdu	Boise	
Chengdu	Boston	
Chengdu	Bozeman	
Chengdu	Buffalo	
Chengdu	Charlotte	
Chengdu	Chicago	
Chengdu	Cincinnati	
Chengdu	Cleveland	
Chengdu	Columbus	
Chengdu	Dallas	
Chengdu	Denver	
Chengdu	Des Moines	
Chengdu	Eugene	
Chengdu	Fort Collins	
Chengdu	Fort Lauderdale	
Chengdu	Fort Myers	
Chengdu	Great Falls	
Chengdu	Greensboro	
Chengdu	Gunnison	
Chengdu	Helena	
Chengdu	Honolulu	
Chengdu	Houston	
Chengdu	Idaho Falls	
Chengdu	Indianapolis	
Chengdu	Jackson	
Chengdu	Kalispell	
Chengdu	Kansas City	
Chengdu	Las Vegas	
Chengdu	Los Angeles	
Chengdu	Miami	
Chengdu	Milwaukee	
Chengdu	Minneapolis	
Chengdu	Missoula	
Chengdu	Montrose	
Chengdu	New Orleans	
Chengdu	Oklahoma City	
Chengdu	Orlando	
Chengdu	Philadelphia	
Chengdu	Phoenix	
Chengdu	Raleigh	
Chengdu	Redding	
Chengdu	Richmond	
Chengdu	Roanoke	
Chengdu	Saint Louis	
Chengdu	San Antonio	
Chengdu	San Diego	
Chengdu	San Francisco	
Chengdu	San Jose	
Chengdu	Seattle	
Chengdu	Spokane	
Chengdu	Steamboat Springs	
Chengdu	Sun Valley	
Chengdu	Tampa	
Chengdu	Tulsa	
Chengdu	Vail	
Chengdu	Washington, D.C.	
Chengdu	West Palm Beach	
Chennai	Atlanta	
Chennai	Austin	
Chennai	Boston	
Chennai	Charlotte	
Chennai	Chicago	
Chennai	Cincinnati	
Chennai	Cleveland	
Chennai	Columbus	
Chennai	Dallas	
Chennai	Denver	
Chennai	Detroit	
Chennai	Fort Lauderdale	
Chennai	Fort Myers	
Chennai	Houston	
Chennai	Indianapolis	
Chennai	Los Angeles	
Chennai	Miami	
Chennai	Milwaukee	
Chennai	Minneapolis	
Chennai	Nashville	
Chennai	New Orleans	
Chennai	Oklahoma City	
Chennai	Omaha	
Chennai	Orlando	
Chennai	Philadelphia	
Chennai	Phoenix	
Chennai	Pittsburgh	
Chennai	Raleigh	
Chennai	Sacramento	
Chennai	Saint Louis	
Chennai	San Antonio	
Chennai	San Diego	
Chennai	San Francisco	
Chennai	San Jose	
Chennai	Seattle	
Chennai	Tampa	
Chennai	Washington, D.C.	
Christchurch	Chicago	
Christchurch	Denver	
Christchurch	Houston	
Christchurch	Los Angeles	
Christchurch	San Francisco	
Chuuk	Agana, Guam	
Chuuk	Honolulu	
Chuuk	Miami	
Chuuk	Minneapolis	
Chuuk	San Francisco	
Delhi	Agana, Guam	
Delhi	Albany	
Delhi	Aspen	
Delhi	Atlanta	
Delhi	Austin	
Delhi	Baltimore	
Delhi	Billings	
Delhi	Boise	
Delhi	Boston	
Delhi	Bozeman	
Delhi	Buffalo	
Delhi	Charlotte	
Delhi	Chicago	
Delhi	Cincinnati	
Delhi	Cleveland	
Delhi	Columbus	
Delhi	Dallas	
Delhi	Dayton	
Delhi	Denver	
Delhi	Des Moines	
Delhi	Detroit	
Delhi	El Paso	
Delhi	Eugene	
Delhi	Fort Collins	
Delhi	Fort Lauderdale	
Delhi	Fort Myers	
Delhi	Fresno	
Delhi	Great Falls	
Delhi	Gunnison	
Delhi	Hartford	
Delhi	Helena	
Delhi	Honolulu	
Delhi	Houston	
Delhi	Idaho Falls	
Delhi	Indianapolis	
Delhi	Jackson	
Delhi	Jacksonville	
Delhi	Kalispell	
Delhi	Kansas City	
Delhi	Las Vegas	
Delhi	Lexington	
Delhi	Lihue	
Delhi	Los Angeles	
Delhi	Memphis	
Delhi	Miami	
Delhi	Milwaukee	
Delhi	Minneapolis	
Delhi	Missoula	
Delhi	Montrose	
Delhi	Nashville	
Delhi	New Orleans	
Delhi	Oklahoma City	
Delhi	Omaha	
Delhi	Orlando	
Delhi	Philadelphia	
Delhi	Phoenix	
Delhi	Pittsburgh	
Delhi	Raleigh	
Delhi	Richmond	
Delhi	Sacramento	
Delhi	Saint Louis	
Delhi	Salt Lake City	
Delhi	San Antonio	
Delhi	San Diego	
Delhi	San Francisco	
Delhi	San Jose	
Delhi	Seattle	
Delhi	Spokane	
Delhi	Steamboat Springs	
Delhi	Sun Valley	
Delhi	Tampa	
Delhi	Tulsa	
Delhi	Vail	
Delhi	Washington, D.C.	
Delhi	West Palm Beach	
Doha	Chicago	
Doha	Denver	
Doha	Fort Lauderdale	
Doha	Houston	
Doha	Los Angeles	
Doha	Orlando	
Doha	San Francisco	
Doha	Washington, D.C.	
Dubai	Atlanta	
Dubai	Austin	
Dubai	Baltimore	
Dubai	Boston	
Dubai	Charlotte	
Dubai	Chicago	
Dubai	Cincinnati	
Dubai	Cleveland	
Dubai	Columbus	
Dubai	Dallas	
Dubai	Denver	
Dubai	Detroit	
Dubai	Fort Lauderdale	
Dubai	Hartford	
Dubai	Honolulu	
Dubai	Houston	
Dubai	Indianapolis	
Dubai	Kansas City	
Dubai	Las Vegas	
Dubai	Los Angeles	
Dubai	Miami	
Dubai	Minneapolis	
Dubai	Nashville	
Dubai	New Orleans	
Dubai	Oklahoma City	
Dubai	Omaha	
Dubai	Orlando	
Dubai	Philadelphia	
Dubai	Phoenix	
Dubai	Pittsburgh	
Dubai	Raleigh	
Dubai	Sacramento	
Dubai	Saint Louis	
Dubai	Salt Lake City	
Dubai	San Antonio	
Dubai	San Diego	
Dubai	San Francisco	
Dubai	San Jose	
Dubai	Seattle	
Dubai	Tampa	
Dubai	Washington, D.C.	
Dubai	West Palm Beach	
Fukuoka	Agana, Guam	
Fukuoka	Charlotte	
Fukuoka	Chicago	
Fukuoka	Denver	
Fukuoka	Honolulu	
Fukuoka	Indianapolis	
Fukuoka	Los Angeles	
Fukuoka	Norfolk	
Fukuoka	Orlando	
Fukuoka	San Diego	
Fukuoka	San Francisco	
Fukuoka	Scranton	
Fukuoka	Seattle	
Fukuoka	Tampa	
Georgetown	Chicago	
Georgetown	Houston	
Georgetown	Los Angeles	
Georgetown	San Francisco	
Georgetown	Washington, D.C.	
Guayaquil	Atlanta	
Guayaquil	Atlantic City	
Guayaquil	Austin	
Guayaquil	Baltimore, MD / Washington DC AREA	
Guayaquil	Boston	
Guayaquil	Charlotte	
Guayaquil	Chicago	
Guayaquil	Cleveland	
Guayaquil	Columbus	
Guayaquil	Dallas	
Guayaquil	Denver	
Guayaquil	Detroit	
Guayaquil	Hartford	
Guayaquil	Houston	
Guayaquil	Indianapolis	
Guayaquil	Kansas City	
Guayaquil	Las Vegas	
Guayaquil	Los Angeles	
Guayaquil	Louisville	
Guayaquil	Miami	
Guayaquil	Milwaukee	
Guayaquil	Minneapolis	
Guayaquil	Myrtle Beach	
Guayaquil	Nashville	
Guayaquil	New Orleans	
Guayaquil	New York	
Guayaquil	Orlando	
Guayaquil	Philadelphia	
Guayaquil	Pittsburgh	
Guayaquil	Raleigh	
Guayaquil	Richmond	
Guayaquil	Sacramento	
Guayaquil	Saint Louis	
Guayaquil	Tampa	
Guayaquil	West Palm Beach	
Hong Kong	Agana, Guam	
Hong Kong	Albuquerque	
Hong Kong	Aspen	
Hong Kong	Atlanta	
Hong Kong	Austin	
Hong Kong	Baltimore	
Hong Kong	Billings	
Hong Kong	Boise	
Hong Kong	Boston	
Hong Kong	Bozeman	
Hong Kong	Buffalo	
Hong Kong	Burlington	
Hong Kong	Cedar Rapids	
Hong Kong	Charleston	
Hong Kong	Charlotte	
Hong Kong	Charlottesville	
Hong Kong	Chicago	
Hong Kong	Cincinnati	
Hong Kong	Cleveland	
Hong Kong	Columbia	
Hong Kong	Columbus	
Hong Kong	Dallas	
Hong Kong	Dayton	
Hong Kong	Denver	
Hong Kong	Des Moines	
Hong Kong	Detroit	
Hong Kong	Eugene	
Hong Kong	Fayetteville	
Hong Kong	Fort Collins	
Hong Kong	Fort Lauderdale	
Hong Kong	Fort Myers	
Hong Kong	Fresno	
Hong Kong	Grand Rapids	
Hong Kong	Great Falls	
Hong Kong	Greensboro	
Hong Kong	Greenville	
Hong Kong	Gulfport	
Hong Kong	Gunnison	
Hong Kong	Harrisburg	
Hong Kong	Hartford	
Hong Kong	Helena	
Hong Kong	Honolulu	
Hong Kong	Houston	
Hong Kong	Huntsville	
Hong Kong	Idaho Falls	
Hong Kong	Indianapolis	
Hong Kong	Ithaca	
Hong Kong	Jackson	
Hong Kong	Kalispell	
Hong Kong	Kansas City	
Hong Kong	Las Vegas	
Hong Kong	Lexington	
Hong Kong	Lincoln	
Hong Kong	Los Angeles	
Hong Kong	Louisville	
Hong Kong	Lubbock	
Hong Kong	Madison	
Hong Kong	Maui	
Hong Kong	Medford	
Hong Kong	Memphis	
Hong Kong	Miami	
Hong Kong	Milwaukee	
Hong Kong	Minneapolis	
Hong Kong	Missoula	
Hong Kong	Moline	
Hong Kong	Montrose	
Hong Kong	Nashville	
Hong Kong	New Orleans	
Hong Kong	Norfolk	
Hong Kong	Oklahoma City	
Hong Kong	Omaha	
Hong Kong	Orlando	
Hong Kong	Palm Springs	
Hong Kong	Panama City	
Hong Kong	Philadelphia	
Hong Kong	Phoenix	
Hong Kong	Pittsburgh	
Hong Kong	Providence	
Hong Kong	Raleigh	
Hong Kong	Redmond	
Hong Kong	Reno	
Hong Kong	Richmond	
Hong Kong	Roanoke	
Hong Kong	Rochester	
Hong Kong	Sacramento	
Hong Kong	Saint Louis	
Hong Kong	Salt Lake City	
Hong Kong	San Antonio	
Hong Kong	San Diego	
Hong Kong	San Francisco	
Hong Kong	San Jose	
Hong Kong	San Luis Obispo	
Hong Kong	Santa Barbara	
Hong Kong	Seattle	
Hong Kong	Sioux Falls	
Hong Kong	South Bend	
Hong Kong	Spokane	
Hong Kong	Springfield	
Hong Kong	Steamboat Springs	
Hong Kong	Sun Valley	
Hong Kong	Tampa	
Hong Kong	Tucson	
Hong Kong	Tulsa	
Hong Kong	Vail	
Hong Kong	Washington, D.C.	
Hong Kong	West Palm Beach	
Hyderabad	Atlanta	
Hyderabad	Austin	
Hyderabad	Chicago	
Hyderabad	Dallas	
Hyderabad	Houston	
Hyderabad	San Francisco	
Hyderabad	Washington, D.C.	
Jackson Hole	Albany	
Jackson Hole	Allentown	
Jackson Hole	Atlanta	
Jackson Hole	Austin	
Jackson Hole	Baltimore	
Jackson Hole	Baton Rouge	
Jackson Hole	Boston	
Jackson Hole	Burbank	
Jackson Hole	Charleston	
Jackson Hole	Charlotte	
Jackson Hole	Chattanooga	
Jackson Hole	Chicago	
Jackson Hole	Cincinnati	
Jackson Hole	Cleveland	
Jackson Hole	Columbus	
Jackson Hole	Dallas	
Jackson Hole	Dayton	
Jackson Hole	Denver	
Jackson Hole	Detroit	
Jackson Hole	Fort Lauderdale	
Jackson Hole	Fort Myers	
Jackson Hole	Greensboro	
Jackson Hole	Greenville	
Jackson Hole	Harrisburg	
Jackson Hole	Hartford	
Jackson Hole	Honolulu	
Jackson Hole	Houston	
Jackson Hole	Indianapolis	
Jackson Hole	Jackson	
Jackson Hole	Jacksonville	
Jackson Hole	Kansas City	
Jackson Hole	Knoxville	
Jackson Hole	Las Vegas	
Jackson Hole	Long Island	
Jackson Hole	Los Angeles	
Jackson Hole	Louisville	
Jackson Hole	Madison	
Jackson Hole	Memphis	
Jackson Hole	Miami	
Jackson Hole	Milwaukee	
Jackson Hole	Minneapolis	
Jackson Hole	Nashville	
Jackson Hole	New Haven	
Jackson Hole	New Orleans	
Jackson Hole	New York	
Jackson Hole	Norfolk	
Jackson Hole	Oakland	
Jackson Hole	Oklahoma City	
Jackson Hole	Ontario	
Jackson Hole	Orlando	
Jackson Hole	Palm Springs	
Jackson Hole	Pensacola	
Jackson Hole	Philadelphia	
Jackson Hole	Phoenix	
Jackson Hole	Pittsburgh	
Jackson Hole	Providence	
Jackson Hole	Raleigh	
Jackson Hole	Richmond	
Jackson Hole	Sacramento	
Jackson Hole	Saint Louis	
Jackson Hole	Salt Lake City	
